id;phone_number;country;city;street_address;zip_code;is_active
1;reciprocal withdrawal;Kuwait;Pfefferland;architecture multi-byte Administrator;37392;false
2;XSS;Honduras;Franciscafurt;Adaptive Oregon Handcrafted;98874;false
3;neural vortals;Morocco;Lake Elyseside;Security quantify uniform;45581;false
4;Cotton;Bangladesh;Predovicfort;Wooden back-end;41184;false
5;index;Pakistan;Port Kim;Villages;92230-8345;false
6;haptic;Albania;Timmothyview;Corporate Proactive Granite;88829-3651;false
7;Small;Papua New Guinea;Port Aleenland;leverage Pants;53512;true
8;back-end Cambridgeshire Cotton;Vietnam;Lake Shane;Wyoming bluetooth Supervisor;16961-1600;false
9;Lats Central cutting-edge;Mozambique;Lake Sandrinefort;array technologies;46942-1935;false
10;generating;Japan;Caitlynfort;Interactions;36431-1676;false
